#sort key order: score|rhythm-strength|intensity
#score|tempo|intensity|intensityR|loudness|pitch|rhythm|rhythm-strength|rhythm-tempo|rms|energy|path
#
175.7|110|1683|-14.63|10.21|281|1.38|3218|211|-15.63|-22.27|TaggedVamp/02 Sir Duke.m4a
177.2|157|515|-11.32|6.81|200|1.29|1521|159|-26.16|-28.84|TaggedVamp/03 - Oh! You Pretty Things (Bowpromo mix).mp3
178.1|129|2068|-15.70|10.67|246|1.38|3559|126|-14.15|-17.70|TaggedVamp/26 It's My Life.m4a
179.4|126|1208|-11.55|9.22|255|1.38|2699|125|-16.35|-21.92|TaggedVamp/01 - Do It Again.mp3
181.4|133|2439|-12.79|11.12|248|1.37|2887|265|-11.83|-16.53|TaggedVamp/01. Read My Mind (Pet Shop Boys 'Stars Are Blazing' Mix).mp3
181.9|117|1216|-10.39|8.75|282|1.34|3027|230|-15.42|-20.33|TaggedVamp/16 Water Me Down.m4a
182.3|161|1331|-11.62|9.40|206|1.34|2683|80|-15.15|-21.94|TaggedVamp/10. Ain't No Sunshine.mp3
182.7|126|1538|-12.23|9.80|265|1.35|1664|123|-13.69|-17.63|TaggedVamp/03 See Emily Play.mp3
182.7|167|1548|-8.92|9.56|200|1.35|2698|82|-13.16|-16.85|TaggedVamp/15 People's Faces (Streatham Version).m4a
182.7|140|1918|-12.23|10.46|239|1.37|3804|136|-14.39|-19.86|TaggedVamp/26 The Cleaner.m4a
183.7|144|1880|-10.39|10.19|235|1.39|2871|70|-11.91|-15.82|TaggedVamp/21 Trouble Every Day.m4a
184.4|98|2566|-12.63|11.41|349|1.33|4088|97|-10.41|-15.34|TaggedVamp/02. Lust for Life (The Prodigy Remix).m4a
185.1|129|1967|-12.68|10.43|265|1.37|2648|128|-14.01|-18.45|TaggedVamp/16-master and servant.mp3
185.3|148|1375|-12.68|9.45|232|1.35|1428|148|-15.33|-18.44|TaggedVamp/04. Venus in Furs.m4a
186.3|129|1047|-8.63|7.95|269|1.37|2549|128|-16.24|-25.83|TaggedVamp/KH aka Fourtet - Only Human (Happening Now).mp3
189.8|133|1036|-13.77|8.50|272|1.39|2286|133|-19.10|-25.59|TaggedVamp/11 James Bond.mp3
190.4|123|2271|-14.56|10.52|295|1.37|5022|120|-13.43|-18.99|TaggedVamp/34. Theme From Shaft.mp3
191.4|129|1981|-12.70|10.47|284|1.38|3220|252|-13.41|-16.89|TaggedVamp/04 Isley Brothers - That Lady.mp3
191.7|167|736|-12.85|8.01|220|1.34|911|175|-18.43|-23.09|TaggedVamp/01. The Fairest of the Seasons.mp3
192.1|191|594|-9.00|7.21|193|1.33|687|178|-18.13|-22.08|TaggedVamp/02. These Days.mp3
192.1|172|1218|-9.69|8.62|214|1.36|4041|167|-15.66|-24.33|TaggedVamp/15 Mother's Mother's Magazines.m4a
194.2|126|1048|-15.18|8.08|299|1.41|2905|252|-18.29|-30.81|TaggedVamp/Marie Davidson-Work It (Happening Now).mp3
194.3|161|1887|-8.70|9.56|234|1.37|4189|157|-11.13|-15.40|TaggedVamp/01 Throw It Back.m4a
194.7|129|1361|-9.79|8.71|294|1.37|5024|126|-15.39|-25.77|TaggedVamp/Le Tigre — Deceptacon (DFA Remix).mp3
195.1|140|1557|-18.78|10.05|273|1.37|1671|68|-15.82|-19.69|TaggedVamp/10. Virgina Plain.mp3
196.3|136|1642|-16.94|10.14|283|1.37|1608|133|-16.30|-19.54|TaggedVamp/The Tubes - White Punks On Dope.mp3
198.0|178|965|-9.71|8.79|220|1.33|1132|172|-15.77|-20.74|TaggedVamp/Julie London - And I Love Him.mp3
198.6|136|1424|-12.43|9.61|290|1.35|2016|67|-16.10|-18.81|TaggedVamp/Gary Oldman - I Wanna Be Your Dog.mp3
198.8|140|2172|-15.63|10.77|283|1.37|2781|140|-12.16|-17.87|TaggedVamp/Richard Hell & The Voidoids - Blank Generation.mp3
202.1|129|2494|-15.58|11.11|316|1.38|3048|128|-13.12|-16.43|TaggedVamp/19 Star Guitar.m4a
203.8|129|1762|-14.33|9.77|322|1.35|4106|63|-15.06|-21.47|TaggedVamp/6. When Doves Cry.mp3
205.6|126|614|-13.96|7.40|335|1.34|2667|126|-24.83|-31.17|TaggedVamp/09 Ring My Bell.mp3
208.9|140|2008|-17.59|10.34|312|1.36|3399|68|-13.72|-19.77|TaggedVamp/11. Baby Love.mp3
213.5|148|1801|-14.19|10.36|309|1.36|2400|72|-13.99|-18.83|TaggedVamp/03. I Hear A Symphony.mp3
216.3|172|837|-11.31|8.65|272|1.34|1196|164|-18.74|-23.97|TaggedVamp/Julie London - Light My Fire.mp3
219.9|133|1826|-11.56|9.63|365|1.40|4416|258|-13.69|-19.91|TaggedVamp/The Slits - The Grapevine.mp3
