#duration|bpm|intensity|intensityR|loudness|pitch|rhythm|rhythm-strength|rhythm-tempo|rms|energy|path
124.273197279|161.499|1331.2|0.262437|9.39815|205.87|1.34473|2683.05|79.5072|0.174746|0.0799678|TaggedVamp/10. Ain't No Sunshine.mp3
240.883809524|139.675|1557.43|0.115058|10.0493|272.505|1.367|1670.64|67.5551|0.161841|0.103673|TaggedVamp/10. Virgina Plain.mp3
138.808888889|132.512|1036.02|0.204998|8.50424|271.786|1.38671|2285.89|132.512|0.110922|0.0525151|TaggedVamp/11 James Bond.mp3
157.918911565|139.675|2008.46|0.132011|10.3422|312.471|1.35952|3398.86|67.9996|0.206129|0.102684|TaggedVamp/11. Baby Love.mp3
152.531882087|156.605|1340.72|0.370403|9.44539|176.311|1.34832|2140.16|151.999|0.178115|0.12715|TaggedVamp/12 None of My Friends.m4a
214.366621316|117.454|2643.65|0.195314|11.8381|256.763|1.34041|2313.36|116.134|0.291294|0.191842|TaggedVamp/12-enjoy the silence (reinterpreted by mike shinoda).mp3
162.562902495|126.048|1777.32|0.266764|10.1229|206.3|1.37151|2027.02|62.642|0.194944|0.143355|TaggedVamp/13 Shiny New Model.m4a
202.036825397|101.333|1589.07|0.395394|9.58766|188.983|1.37136|3278.6|49.9321|0.242212|0.117632|TaggedVamp/13 Summer Girl.m4a
223.422403628|99.384|2080.41|0.212451|10.5366|261.627|1.37194|4560.92|98.4375|0.226189|0.103196|TaggedVamp/14. Will It Go Round In Circles.mp3
203.174603175|109.957|1599.11|0.22877|9.75589|247.758|1.35431|3296.56|54.1149|0.158474|0.0726413|TaggedVamp/15 Jet Black.m4a
255.210521542|172.266|1218.35|0.327631|8.6192|214.161|1.3573|4040.55|166.709|0.164791|0.060775|TaggedVamp/15 Mother's Mother's Magazines.m4a
222.632925170|166.709|1547.84|0.358155|9.56341|200.174|1.3521|2698.37|82.0313|0.219665|0.14373|TaggedVamp/15 People's Faces (Streatham Version).m4a
272.370068028|117.454|1215.5|0.302424|8.75236|281.626|1.34318|3026.77|229.688|0.169378|0.0962179|TaggedVamp/16 Water Me Down.m4a
229.018412699|129.199|1967.15|0.232241|10.4337|265.283|1.37028|2648.29|127.604|0.199332|0.119546|TaggedVamp/16-master and servant.mp3
265.938140590|129.199|1219.59|0.302934|9.3171|166.705|1.39796|1976.07|252.096|0.155254|0.0787413|TaggedVamp/17. Bang A Gong (Get It On).m4a
138.019410431|97.5088|1376.54|0.335615|9.26679|273.64|1.35764|2694.15|48.5255|0.185481|0.106833|TaggedVamp/18 Home.m4a
236.448798186|129.199|2494.28|0.166275|11.112|316.006|1.37791|3048.24|127.604|0.220769|0.150909|TaggedVamp/19 Star Guitar.m4a
193.445442177|143.555|1879.74|0.302449|10.1893|235.019|1.39082|2871.1|69.8374|0.253848|0.161748|TaggedVamp/21 Trouble Every Day.m4a
296.867120182|89.1029|1478.01|0.357728|9.52514|248.357|1.36837|2287.55|43.6115|0.272845|0.148387|TaggedVamp/22 IBTIHAJ.m4a
179.722448980|107.666|2035.84|0.207112|10.4546|227.643|1.38593|2841.61|106.556|0.194298|0.105557|TaggedVamp/25 Sound And Vision.m4a
215.690158731|129.199|2067.78|0.164022|10.6687|245.623|1.37705|3558.69|126.048|0.196123|0.130361|TaggedVamp/26 It's My Life.m4a
237.191836735|139.675|1917.74|0.244733|10.46|238.852|1.36716|3804.4|135.999|0.190799|0.10157|TaggedVamp/26 The Cleaner.m4a
351.944852608|93.9631|886.43|0.334427|8.14493|194.226|1.36981|2464.83|124.529|0.101779|0.043104|TaggedVamp/28. Nightclubbing (Baby Doc Remix).mp3
194.490340136|123.047|2270.98|0.187138|10.5234|294.667|1.3709|5021.64|120.185|0.213039|0.112375|TaggedVamp/34. Theme From Shaft.mp3
353.059410431|129.199|1762.12|0.19198|9.77204|321.587|1.35166|4105.61|63.4107|0.176694|0.0844242|TaggedVamp/6. When Doves Cry.mp3
219.591111111|120.185|2077.49|0.237545|10.4189|233.461|1.35898|3931.26|118.804|0.243699|0.144019|TaggedVamp/Chris Farlowe & The Thunderbirds - It's All Over Now, Baby Blue.mp3
221.170068028|107.666|2039.25|0.309703|10.0105|218.936|1.33067|5468.29|106.556|0.300533|0.13839|TaggedVamp/Donovan - 01  Mellow Yellow.mp3
229.923990930|135.999|1424.01|0.239066|9.61032|290.151|1.3453|2015.59|67.1165|0.156715|0.114621|TaggedVamp/Gary Oldman - I Wanna Be Your Dog.mp3
295.172063492|126.048|1721.77|0.435153|9.40726|212.14|1.38484|2879.05|61.8918|0.318049|0.14665|TaggedVamp/Jealousy (House Mix).mp3
161.680544218|126.048|1714.27|0.263368|9.71239|232.944|1.33454|3470.68|61.8918|0.213261|0.102466|TaggedVamp/Johnny Nash - I Can See Clearly Now.mp3
126.525532880|178.206|964.862|0.32684|8.78711|220.078|1.33497|1131.5|172.266|0.162696|0.091844|TaggedVamp/Julie London - And I Love Him.mp3
202.570884354|172.266|837.354|0.27186|8.65289|271.611|1.34176|1196.49|164.063|0.115556|0.063339|TaggedVamp/Julie London - Light My Fire.mp3
439.205442177|129.199|1047.38|0.370385|7.94533|268.627|1.36594|2548.63|127.604|0.154245|0.0511264|TaggedVamp/KH aka Fourtet - Only Human (Happening Now).mp3
370.520816327|123.047|1811.16|0.401066|10.169|209.637|1.35106|1178.4|246.094|0.281324|0.19203|TaggedVamp/Kingdom of Ends (real Music mix).mp3
385.033287982|129.199|1360.52|0.323873|8.70859|293.517|1.36879|5024.13|126.048|0.169977|0.0514755|TaggedVamp/Le Tigre — Deceptacon (DFA Remix).mp3
284.049705216|126.048|1048.19|0.174136|8.08411|299.127|1.408|2905.44|252.096|0.121792|0.0287961|TaggedVamp/Marie Davidson-Work It (Happening Now).mp3
149.048888889|93.9631|1858.52|0.250993|10.2051|254.517|1.35735|3025.31|92.2852|0.241259|0.151298|TaggedVamp/Marvin Gaye - Mercy Mercy Me (The Ecology).mp3
250.566530613|97.5088|1924.17|0.377988|10.0982|185.069|1.35173|2383.48|191.406|0.309361|0.206481|TaggedVamp/Paul McCartney - 01  Too Many People.mp3
164.884897960|139.675|2171.91|0.165417|10.7677|282.818|1.36651|2781.34|139.675|0.246672|0.127782|TaggedVamp/Richard Hell & The Voidoids - Blank Generation.mp3
185.991836735|109.957|1789.44|0.247987|9.89461|252.473|1.3386|3788.06|108.799|0.229825|0.102366|TaggedVamp/Sly & The Family Stone - Family Affair.mp3
282.702947846|101.333|1916.77|0.235808|9.87647|278.331|1.34342|3962.8|49.9321|0.26503|0.129319|TaggedVamp/Steve Miller Band - 2  Fly Like an Eagle.mp3
210.070929706|99.384|1631.98|0.241655|9.9813|226.656|1.36021|2685.06|98.4375|0.200143|0.116974|TaggedVamp/The Rolling Stones - It's All Over Now.mp3
237.586575964|132.512|1825.53|0.264283|9.62984|364.825|1.39633|4415.8|258.398|0.206707|0.101061|TaggedVamp/The Slits - The Grapevine.mp3
323.059229025|135.999|1642.15|0.142267|10.1389|283.319|1.36883|1608.08|132.512|0.153043|0.105381|TaggedVamp/The Tubes - White Punks On Dope.mp3
